FIPS,Tract,County,State,Total,Under 18,18 to 64,Over 64,White,Black,Hispanic,Asian,Other_Races,Below 9th grade,High School,College,Advanced Degree
36103158401,Census Tract 1584.01,Suffolk County,New York,1250,0.256,0.6392,0.1048,0.8432,0.0296,0.0968,0.0128,0.0176,0.017772511848341232,0.8992890995260664,0.3862559241706161,0.1646919431279621
36103158402,Census Tract 1584.02,Suffolk County,New York,4793,0.27519298977675777,0.5706238264135197,0.1541831838097225,0.8610473607344044,0.010849155017734195,0.10932610056332151,0.009388691842269977,0.009388691842269977,0.04488859764089122,0.9347968545216252,0.4672346002621232,0.30013106159895153
36103158403,Census Tract 1584.03,Suffolk County,New York,2494,0.1868484362469928,0.7028869286287089,0.11026463512429832,0.7004811547714515,0.11066559743384122,0.1483560545308741,0.02566158781074579,0.01483560545308741,0.0233983286908078,0.8969359331476323,0.4155988857938719,0.22952646239554317
36103158407,Census Tract 1584.07,Suffolk County,New York,5517,0.2689867681711075,0.59126336777234,0.1397498640565525,0.8345115098785572,0.008337864781584194,0.13050570962479607,0.0030813848105854633,0.023563530904477072,0.059186535764375874,0.8880785413744741,0.38064516129032255,0.1573632538569425
36103158408,Census Tract 1584.08,Suffolk County,New York,3631,0.21399063618837785,0.7061415587992289,0.07986780501239328,0.8234646103001928,0.011567061415587993,0.07986780501239328,0.003855687138529331,0.08124483613329661,0.025480203841630734,0.9502156017248138,0.2947863582908663,0.16385731085848687
36103158409,Census Tract 1584.09,Suffolk County,New York,3631,0.1735059212338199,0.5904709446433489,0.23602313412283119,0.8465987331313688,0.011291655191407325,0.08702836684109061,0.04076012117873864,0.014321123657394658,0.027870680044593088,0.938312894834634,0.31921218877740615,0.16833890746934224
36103158410,Census Tract 1584.10,Suffolk County,New York,2852,0.03225806451612903,0.2776998597475456,0.6900420757363254,0.9530154277699859,0.020687237026647966,0.026297335203366058,0.0,0.0,0.03571428571428571,0.875920471281296,0.29086892488954347,0.07731958762886598
36103158411,Census Tract 1584.11,Suffolk County,New York,3165,0.22780410742496052,0.6960505529225909,0.07614533965244866,0.7652448657187993,0.05687203791469194,0.12322274881516587,0.041390205371248025,0.013270142180094787,0.030287474332648872,0.8901437371663244,0.45585215605749485,0.20841889117043122
36103158412,Census Tract 1584.12,Suffolk County,New York,2659,0.20646859721699887,0.5938322677698383,0.19969913501316283,0.8559608875517112,0.0,0.07521624670928921,0.0,0.06882286573899962,0.022483940042826552,0.8816916488222698,0.4213062098501071,0.1879014989293362
36103158502,Census Tract 1585.02,Suffolk County,New York,3698,0.23445105462412114,0.5365062195781504,0.2290427257977285,0.6452136289886425,0.03866955110870741,0.22471606273661437,0.07517577068685775,0.016224986479177934,0.029039463886820552,0.8574087862993298,0.18279970215934474,0.06924795234549516
36103158505,Census Tract 1585.05,Suffolk County,New York,3900,0.25051282051282053,0.6794871794871795,0.07,0.6574358974358975,0.018461538461538463,0.2141025641025641,0.08333333333333333,0.02666666666666667,0.005383022774327122,0.915527950310559,0.45714285714285713,0.15320910973084886
