FIPS,Tract,County,State,Gini Coefficient,Economic Segregation,Racial Economic Segregation,Racial Segregation,Gender Pay Gap,Uninsured Children,Uninsured (Black),Uninsured (Hispanic),Living Below Poverty (Black),Living Below Poverty (Hispanic),Lack_English_Prof
36103146706,Census Tract 1467.06,Suffolk County,New York,0.3292,0.43372093023255814,0.4372093023255814,0.8491027732463295,0.22869930069930067,0.043795620437956206,0.0,0.02631578947368421,,0.0,0.034913793103448276
36103146800,Census Tract 1468,Suffolk County,New York,0.3026,0.5561002178649237,0.5490196078431373,0.7984581497797357,-0.19771801620326124,0.024844720496894408,0.0,0.07086614173228346,,0.0,0.008779194964386285
36103146901,Census Tract 1469.01,Suffolk County,New York,0.3696,0.5808782657031685,0.5953307392996109,0.8471177944862155,-0.07987425735722975,0.0,,0.0,,0.0,0.010869565217391304
36103146902,Census Tract 1469.02,Suffolk County,New York,0.4109,0.5184210526315789,0.5184210526315789,0.787980397214341,-0.02793281099066225,0.06601731601731602,,0.0,,0.0,0.004044216770018873
36103147001,Census Tract 1470.01,Suffolk County,New York,0.3945,0.4392782789729355,0.47467036780013877,0.9359223300970874,0.2991674823213716,0.0,0.0,0.0,,0.0,0.0
36103147003,Census Tract 1470.03,Suffolk County,New York,0.3447,0.4446450060168472,0.42478941034897716,0.822227191413238,0.1806444577722044,0.0,0.0,0.03125,0.0,0.0,0.006211180124223602
36103147004,Census Tract 1470.04,Suffolk County,New York,0.3757,0.17647058823529413,0.17647058823529413,0.7640449438202247,0.0,0.0,0.0,,0.0,,0.0
36103147100,Census Tract 1471,Suffolk County,New York,0.3545,0.5529411764705883,0.553921568627451,0.8267840301791889,0.1112464403066813,0.0,0.0,0.02109704641350211,0.0,0.0,0.0
36103147201,Census Tract 1472.01,Suffolk County,New York,0.5482,0.13471177944862156,0.20300751879699247,0.5006324310650139,0.4631554458818349,0.0,0.0,0.058823529411764705,0.2903225806451613,0.0,0.028717948717948718
36103147202,Census Tract 1472.02,Suffolk County,New York,0.3287,-0.01955671447196871,0.07040417209908735,0.07709059233449478,0.06536555142503098,0.0,0.0,0.026901669758812616,0.0,0.23557692307692307,0.024289642529789185
