FIPS,Tract,County,State,Vacancy Rate,No Vehicle,Single Parent Household,Multi-Unit Structures,Mobile Homes,Owner Occupied Housing,Crowded Housing,Lack Complete Plumbing,Median Home Value,Median Monthly Mortgage,Median Gross Rent,No Home Broadband,Rent Burden (40% Income)
36059408600,Census Tract 4086,Nassau County,New York,0.03854389721627409,0.005842259006815969,0.017074981440237565,0.027123483226266953,0.0,0.8641425389755011,0.0,0.0,546200.0,3359.0,0.0,0.0411334552102377,0.16393442622950818
36059408700,Census Tract 4087,Nassau County,New York,0.0044728434504792336,0.0,0.00834403080872914,0.0,0.0,0.9711168164313222,0.02374839537869063,0.0,497600.0,3268.0,0.0,0.03385731559854899,0.35555555555555557
36059408800,Census Tract 4088,Nassau County,New York,0.03298611111111111,0.0,0.013913824057450628,0.040364583333333336,0.0,0.949281867145422,0.0,0.0,544300.0,3030.0,2240.0,0.02773473814688565,0.5132743362831859
36059408900,Census Tract 4089,Nassau County,New York,0.004577822990844354,0.00256986829424992,0.01430761369443025,0.00508646998982706,0.0,0.9463464486458866,0.013796627491057742,0.0,501600.0,3320.0,1880.0,0.03859590750291131,0.24761904761904763
36059409000,Census Tract 4090,Nassau County,New York,0.0321285140562249,0.025576368876080693,0.01504149377593361,0.02459839357429719,0.0,0.9657676348547718,0.01815352697095436,0.005705394190871369,466800.0,3073.0,2750.0,0.05736823234134103,0.3484848484848485
36059409100,Census Tract 4091,Nassau County,New York,0.006107717934480844,0.0,0.06089385474860335,0.0,0.0,0.9491620111731843,0.0033519553072625698,0.006145251396648044,508700.0,3250.0,1528.0,0.0715709728867624,0.2967032967032967
36059409200,Census Tract 4092,Nassau County,New York,0.021068103870651642,0.04652532391048292,0.011011011011011011,0.033806957373836356,0.0,0.8858858858858859,0.012512512512512513,0.0,500400.0,3140.0,2442.0,0.013198491600959872,0.25877192982456143
36059409300,Census Tract 4093,Nassau County,New York,0.005072463768115942,0.012940651494868362,0.06627822286962855,0.007971014492753623,0.0,0.989075018208303,0.01529497450837582,0.0,503000.0,3400.0,0.0,0.01803318105313778,0.0
36059409400,Census Tract 4094,Nassau County,New York,0.03004891684136967,0.023993493289955266,0.0,0.04122990915443746,0.0,0.9690201729106628,0.00792507204610951,0.0,556800.0,3342.0,3160.0,0.022448507289979158,0.0
36059409500,Census Tract 4095,Nassau County,New York,0.034324942791762014,0.013300083125519535,0.00631911532385466,0.0,0.0,0.9660347551342812,0.00315955766192733,0.0,547400.0,3577.0,2836.0,0.04139323573952547,0.32558139534883723
36059409600,Census Tract 4096,Nassau County,New York,0.024858757062146894,0.0,0.04171494785631518,0.0,0.0,0.9843568945538818,0.009269988412514484,0.0,578000.0,3687.0,0.0,0.011852149457613481,0.0
36059409700,Census Tract 4097,Nassau County,New York,0.04024390243902439,0.007349338559529643,0.01588310038119441,0.05121951219512195,0.0,0.9123252858958069,0.0,0.0,569700.0,3217.0,1184.0,0.04789808917197447,0.21014492753623187
36059409800,Census Tract 4098,Nassau County,New York,0.010043942247332079,0.02459954233409611,0.05009511731135067,0.0,0.0,0.9657577679137603,0.054533925174381735,0.0,560100.0,3415.0,0.0,0.021865659902469692,0.0
36059409900,Census Tract 4099,Nassau County,New York,0.01641178664677359,0.03907594003440649,0.10542282897231703,0.006713912719134651,0.0,0.9146757679180887,0.0,0.0,573000.0,3343.0,2228.0,0.07125690939677964,0.5777777777777777
36059410000,Census Tract 4100,Nassau County,New York,0.05306685044796692,0.0,0.004366812227074236,0.053756030323914544,0.005513439007580979,0.9599708879184862,0.033478893740902474,0.010917030567685589,569800.0,3627.0,3201.0,0.07391713747645956,0.36363636363636365
36059410100,Census Tract 4101,Nassau County,New York,0.07209737827715355,0.0,0.0075681130171543895,0.0046816479400749065,0.005149812734082397,0.991422805247225,0.008577194752774974,0.0,591700.0,3439.0,0.0,0.03612644254892128,0.0
36059410200,Census Tract 4102,Nassau County,New York,0.05314685314685315,0.018235584031542632,0.03471196454948301,0.027972027972027972,0.0,0.880354505169867,0.007385524372230428,0.0,614900.0,4001.0,1931.0,0.05251396648044693,0.5864197530864198
36059410300,Census Tract 4103,Nassau County,New York,0.056981519507186856,0.06395348837209303,0.08600979858464888,0.01591375770020534,0.003080082135523614,0.8671747414262384,0.04409363091997823,0.0,556200.0,3508.0,1870.0,0.03665665981987676,0.39344262295081966
