FIPS,Tract,County,State,PM25,Lead Paint,Diesel PM,Air Toxics Cancer,Air Toxics Resp,Toxics Release to Air,Traffic Proximity,Water Discharge,Superfund Proximity,RMP Proximity,Hazardous Waste Proximity,Ozone,Underground Storage Tanks
36059411000,Census Tract 4110.00,Nassau County,New York,7.56186136986301,0.652073732718894,0.417300146,20.0,0.3,693.1554205589857,380.2130124570776,3.9752e-11,0.212626332301044,0.041980085979778,1.55992334617531,65.89771,6.957293658915362
36059411100,Census Tract 4111.00,Nassau County,New York,7.52049424657534,0.653873489694385,0.399759448,20.0,0.3,267.9018573729071,208.6600700125192,3.0725e-11,0.20210360446851,0.041434832279954,1.615535255287827,65.8514,5.949449052308948
36059411200,Census Tract 4112.00,Nassau County,New York,7.50784684931507,0.759459459459459,0.413240146,20.0,0.3,306.3815663046108,262.0074219757472,4.4845e-11,0.312480371463792,0.044698481291294,1.242254301415107,66.17505,3.314920437505153
36059411301,Census Tract 4113.01,Nassau County,New York,7.5928095890411,0.259052924791086,0.482841452,20.0,0.4,421.06544722550245,61.61556818026797,7.9753e-11,0.345605442497343,0.04767340476207,1.253136235926311,66.39985,2.957892473686533
36059411302,Census Tract 4113.02,Nassau County,New York,7.53937561643836,0.61692759295499,0.438149579,20.0,0.3,264.46156043350527,184.13345788473333,4.3349e-11,0.472785153598046,0.047536013348894,0.9978688961756,66.52081,0.0
36059411400,Census Tract 4114.00,Nassau County,New York,7.47489205479452,0.607927155865024,0.391153816,20.0,0.3,164.00643472148903,110.4084610246966,0.001242191507642,0.659377597761297,0.048200721292354,0.657887359406111,66.40562,0.78968981876976
36059411500,Census Tract 4115.00,Nassau County,New York,7.42043205479452,0.721428571428571,0.374571743,20.0,0.3,122.48233203412308,58.363676792735376,0.014318801361846,0.835487498988,0.049958574116308,0.354202684316,66.66441,0.503903613095385
36059411600,Census Tract 4116.00,Nassau County,New York,7.38888273972603,0.533699450823764,0.356834561,20.0,0.3,171.35695594733443,202.3499813243788,2.468e-11,0.238174976293582,0.042563150848289,1.031055656180643,66.00248,0.210017731897782
36059411700,Census Tract 4117.00,Nassau County,New York,7.48740219178082,0.653375444137386,0.426266794,20.0,0.3,134.42848276440375,338.627364237648,0.009651598520634,1.521562556983614,0.052462777532773,0.313549297070642,66.81725,4.751976988002617
36059411800,Census Tract 4118.00,Nassau County,New York,7.52460821917808,0.694524495677233,0.457035458,20.0,0.3,106.92133452197164,340.86650854576567,0.013463622592564,0.352096025486058,0.060719603498552,0.181204693343288,67.33834,3.402508440429224
36059411901,Census Tract 4119.01,Nassau County,New York,7.47911726027397,0.525921299188007,0.436717168,20.0,0.3,107.12565568820195,426.6495857149244,0.020140902088553,0.446532743534017,0.058664454044006,0.181055045102592,67.15262,1.94395274737041
36059411902,Census Tract 4119.02,Nassau County,New York,7.4894464109589,0.878164556962025,0.441434555,20.0,0.3,111.0562936088628,359.0594921877843,0.017482321180993,0.623769729456487,0.056573759137213,0.181573856399359,67.09306,7.219509858546449
36059412000,Census Tract 4120.00,Nassau County,New York,7.48181835616438,0.849250936329588,0.43765331,20.0,0.3,102.65016509959534,520.8145790702257,0.017633863273152,0.293517265744903,0.063034950038288,0.197483850454008,67.40404,2.145947381314241
36059412100,Census Tract 4121.00,Nassau County,New York,7.42653589041096,0.796926454445664,0.419466689,20.0,0.3,103.8843075354987,136.2785421347863,0.034421410444921,0.403881487260916,0.058465101888923,0.210929079989429,67.13366,0.540987944717328
36059412200,Census Tract 4122.00,Nassau County,New York,7.38490290410959,0.796626054358013,0.386076742,20.0,0.3,102.41099753444772,94.43099764668813,0.067919457437467,0.429081488137241,0.055291267464429,0.204632836753696,66.88795,0.261857672362672
36059412301,Census Tract 4123.01,Nassau County,New York,7.41779408219178,0.703365658870507,0.417479209,20.0,0.3,98.11301705544832,584.7155805721179,0.020660170658028,0.227338447474829,0.064987236834376,0.289011254766458,67.366,5.469100554624962
36059412302,Census Tract 4123.02,Nassau County,New York,7.39522073972603,0.846264367816091,0.405997754,20.0,0.3,79.55482399127763,475.1752506749386,0.015243353675403,0.206360769429702,0.065816230195468,0.410025597913186,67.32025,4.831138003004096
36059412400,Census Tract 4124.00,Nassau County,New York,7.43889780821918,0.485015290519877,0.424573951,20.0,0.3,88.60153185434534,422.4894121995468,0.009897439110536,0.199793224914873,0.068650445066839,0.364494233255867,67.5347,6.276247745588445
36059412500,Census Tract 4125.00,Nassau County,New York,7.46276383561644,0.90870185449358,0.399448132,20.0,0.3,91.61704649314304,204.9216420392108,0.001039432200364,0.178770195925404,0.072002276349784,0.473732861617694,67.7898,1.527678078075051
36059412600,Census Tract 4126.00,Nassau County,New York,7.49509945205479,0.915086562242374,0.401385515,20.0,0.3,68.80678995551452,278.8302420266202,0.000156287824855,0.177695416187224,0.079016138981185,0.476988369252033,68.11616,0.351080003149129
36059412700,Census Tract 4127.00,Nassau County,New York,7.4278495890411,0.906316536550745,0.382077089,20.0,0.3,65.63081539299347,152.57211204000967,0.00022247223783,0.154245989728748,0.075462999323807,0.782605262501332,67.78676,2.839046853161298
36059412800,Census Tract 4128.00,Nassau County,New York,7.48790273972603,0.874149659863945,0.39572961,20.0,0.3,71.03549405271873,662.2564480163065,0.000231485295361,0.175519275516735,0.086124805477393,0.635171284437463,68.25436,0.980122126418086
36059412900,Census Tract 4129.00,Nassau County,New York,7.44650109589041,0.830149716055756,0.362513739,20.0,0.3,74.42565029548653,405.734405707496,0.000921913437876,0.163044711886212,0.08816039953439,0.926185349311252,68.2146,2.869883677026783
36059413001,Census Tract 4130.01,Nassau County,New York,7.38431194520548,0.720510894064613,0.402760851,20.0,0.3,97.3800230125169,241.33412892019808,0.038002919392029,0.246900102748068,0.061138738950725,0.317726691311836,67.1227,8.520434543676087
36059413002,Census Tract 4130.02,Nassau County,New York,7.33846794520548,0.416005767844268,0.372245264,20.0,0.3,96.11004288734398,148.76029427434244,0.151381122069624,0.270638991039195,0.056752458026818,0.272118026955131,66.9783,3.116285083017019
36059413100,Census Tract 4131.00,Nassau County,New York,7.3578184109589,0.717271727172717,0.374736405,20.0,0.3,65.72658992122572,199.4721302825796,0.003571089769077,0.171301171186261,0.067129283330863,0.863268530652313,67.3436,2.097314082005408
36059413200,Census Tract 4132.00,Nassau County,New York,7.31023526027397,0.607035607035607,0.360811992,20.0,0.3,92.94011243408819,309.77895855772334,0.037280270097481,0.218956673983803,0.057899560632274,0.346666954257049,66.94116,6.660284583288842
36059413300,Census Tract 4133.00,Nassau County,New York,7.30864098630137,0.861922914019483,0.349162085,20.0,0.3,62.24223465600631,185.09147810209288,0.010034916368693,0.176136200251147,0.062449914928039,0.920939051006594,67.12616,1.393515516248566
36059413400,Census Tract 4134.00,Nassau County,New York,7.24597868493151,0.485533929510783,0.306814541,20.0,0.3,53.70754132193079,167.48939211148107,0.011193214156804,0.167621772036108,0.058239739424774,0.674505059950017,66.86216,3.397276117378636
36059413500,Census Tract 4135.00,Nassau County,New York,7.40307205479452,0.81117132138391,0.350983488,20.0,0.3,69.8059155015548,165.80001587882103,0.000978601720295,0.140847357051695,0.081290744839509,1.034063979097455,67.90241,1.071638465137545
36059413600,Census Tract 4136.00,Nassau County,New York,7.34047753424658,0.890282131661442,0.34444323,20.0,0.3,65.29302805888908,427.996100338866,0.001443685409696,0.135809243297946,0.074147743011832,1.111007905897124,67.60162,2.290722420246015
36059413700,Census Tract 4137.00,Nassau County,New York,7.30080402739726,0.720116618075801,0.327258861,20.0,0.3,59.89838109852632,193.65420255878945,0.001285634097193,0.138697162462456,0.068039205079474,2.308366092987544,67.40345,3.608727201446316
36059413803,Census Tract 4138.03,Nassau County,New York,7.23419093150685,0.464808362369338,0.309860503,20.0,0.3,54.95733639505019,95.34309426843976,0.000394684527828,0.136211833290146,0.063440809955292,2.55490473604813,67.07069,4.97295284000479
36059413804,Census Tract 4138.04,Nassau County,New York,7.210662,0.606580829756795,0.303551202,20.0,0.3,54.175938401182265,67.42541139038113,0.001134508579466,0.121905841224268,0.063664328679803,1.462756315374903,67.1258,0.743504838661136
36059413900,Census Tract 4139.00,Nassau County,New York,7.40589936986301,0.745859213250517,0.345823303,20.0,0.3,80.08534381313832,512.54976021309,0.000734288029076,0.155995828341024,0.095093102030959,0.960059962218835,68.18616,3.214020684413537
36059414001,Census Tract 4140.01,Nassau County,New York,7.4144298630137,0.828802351212343,0.351815931,20.0,0.3,87.02294098663893,409.4212043475832,0.000266914332509,0.161652752061601,0.103364100350944,0.797201343911421,68.37191,2.558867097537096
36059414002,Census Tract 4140.02,Nassau County,New York,7.35449890410959,0.436995153473344,0.339067547,20.0,0.3,79.70917842211011,183.04195411003704,0.0002474965325,0.137127832715792,0.094437695017763,1.027988402270935,68.1221,0.138371022221355
